"",""
"Action","Action"
"Add Notification","Add Notification"
"Affiliate Groups","Affiliate Groups"
"An error occurred while updating the notifications.","An error occurred while updating the notifications."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change Send email to Affiliates","Change Send email to Affiliates"
"Change status","Change status"
"Content","Content"
"Could not find notification to delete.","Could not find notification to delete."
"Created at","Created at"
"Delete Notification","Delete Notification"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Edit Notification '%s'","Edit Notification '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving notification","Error saving notification"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"No","No"
"None","None"
"Notification was saved","Notification was saved"
"Notification was successfully deleted.","Notification was successfully deleted."
"Notification was successfully saved","Notification was successfully saved"
"Notification","Notification"
"Notifications","Notifications"
"Please select notifications to delete.","Please select notifications to delete."
"Please select notifications.","Please select notifications."
"Relative to Website Base URL","Relative to Website Base URL"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Notification","Save Notification"
"Send email to Affiliates","Send email to Affiliates"
"Status","Status"
"Store views","Store views"
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The notifications has been deleted.","The notifications has been deleted."
"There was a problem saving the notification.","There was a problem saving the notification."
"There was an error deleting notification.","There was an error deleting notification."
"There was an error deleting notifications.","There was an error deleting notifications."
"There was an error updating notifications.","There was an error updating notifications."
"This notification no longer exists.","This notification no longer exists."
"Title","Title"
"Total of %d notifications were successfully deleted.","Total of %d notifications were successfully deleted."
"Total of %d notifications were successfully updated.","Total of %d notifications were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"URL key already exists.","URL key already exists."
"URL key for list page","URL key for list page"
"URL key","URL key"
"URL prefix","URL prefix"
"URL suffix","URL suffix"
"Unable to find notification to save.","Unable to find notification to save."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"WYSIWYG Editor","WYSIWYG Editor"
"Website","Website"
"What goes after the dot. Leave empty for no suffix.","What goes after the dot. Leave empty for no suffix."
"XML","XML"
"Yes","Yes"